bench id,algorithm,time,number of inter solutions,alg weights,expected weights,capacity,alg total weight,expected total weight,alg profit,expected profit,profit difference,percentage profit difference
1,BranchAndBound,2.3039000000000004e-05,12,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",165,165,165,309.0,309,0.0,0.0
1,CustomGARansack,0.000213332,6,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",165,92,165,228.746,309,80.25399999999999,25.9722
1,CustomGATARansack,7.107100000000004e-05,6,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",165,165,165,309.0,309,0.0,0.0
1,DPWeights,0.0010722079999999946,1123,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",165,165,165,309.0,309,0.0,0.0
1,PTAS,0.00011075500000000002,56,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",165,165,165,309.0,309,0.0,0.0
1,TwoApproxAlgorithm,9.019e-06,6,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",165,165,165,309.0,309,0.0,0.0
2,BranchAndBound,9.654e-06,12,"[0, 1, 1, 1, 0]","[0, 1, 1, 1, 0]",26,26,26,51.0,51,0.0,0.0
2,CustomGARansack,6.4423e-05,6,"[1, 0, 1, 0, 0]","[0, 1, 1, 1, 0]",26,23,26,41.378,51,9.622,18.8667
2,CustomGATARansack,5.263600000000002e-05,6,"[0, 1, 0, 1, 1]","[0, 1, 1, 1, 0]",26,24,26,44.0,51,7.0,13.7255
2,DPWeights,8.792800000000003e-05,88,"[0, 1, 1, 1, 0]","[0, 1, 1, 1, 0]",26,26,26,51.0,51,0.0,0.0
